"","x","y"
"mW_WT.7433.9.463.463.1",0.027819999999999,0
"mW_WT.7433.9.463.463.2",0.0246099999999989,0.10914
"mW_WT.7433.9.463.463.3",0.0192599999999992,0.0235400000000006
"mW_WT.7433.9.463.463.4",0,0.107
"mW_WT.7433.9.463.463.5",0.200089999999999,0.317790000000001
"mW_WT.7433.9.463.463.6",0.151939999999999,0.26643
"mW_WT.7433.9.463.463.7",0.21935,0.30923
"mW_WT.7433.9.463.463.8",0.19902,0.42051
"mW_WT.7433.9.463.463.9",0.15729,0.34775
"mW_WT.7947.7.511.511.1",0.0192599999999992,0.20544
"mW_WT.7947.7.511.511.2",0.00213999999999957,0.25894
"mW_WT.7947.7.511.511.3",0.00321000000000012,0.17013
"mW_WT.7947.7.511.511.4",0,0.15836
"mW_WT.7947.7.511.511.5",0.0855999999999997,0.08774
"mW_WT.7947.7.511.511.6",0.0727599999999992,0.0791800000000002
"mW_WT.7947.7.511.511.7",0.23112,0
"mW_WT.734.8.21.21.1",0.13696,0
"mW_WT.734.8.21.21.2",0.11021,0.0235400000000006
"mW_WT.734.8.21.21.3",0.11877,0.0941600000000003
"mW_WT.734.8.21.21.4",0,0.268570000000001
"mW_WT.734.8.21.21.5",0.0246100000000004,0.30816
"mW_WT.734.8.21.21.6",0.0888100000000013,0.32849
"mW_WT.734.8.21.21.7",0.0149800000000001,0.295320000000001
"mW_WT.734.8.21.21.8",0.0107000000000009,0.27713
"mW_WT.1198.7.130.130.1",0.21614,0
"mW_WT.1198.7.130.130.2",0.16585,0.0845300000000007
"mW_WT.1198.7.130.130.3",0.20223,0.169060000000001
"mW_WT.1198.7.130.130.4",0.0117699999999999,0.33384
"mW_WT.1198.7.130.130.5",0.0117699999999999,0.27713
"mW_WT.1198.7.130.130.6",0.0310299999999991,0.26643
"mW_WT.1198.7.130.130.7",0,0.29318
"mW_WT.5007.7.373.373.1",0,0.28034
"mW_WT.5007.7.373.373.2",0.209720000000001,0.10272
"mW_WT.5007.7.373.373.3",0.20544,0.186179999999999
"mW_WT.5007.7.373.373.4",0.22684,0.14873
"mW_WT.5007.7.373.373.5",0.236470000000001,0.15729
"mW_WT.5007.7.373.373.6",0.215070000000001,0.0888099999999998
"mW_WT.5007.7.373.373.7",0.22684,0
"mW_WT.2787.7.306.306.1",0.37129,0
"mW_WT.2787.7.306.306.2",0.37129,0.0417300000000001
"mW_WT.2787.7.306.306.3",0.41623,0.125189999999999
"mW_WT.2787.7.306.306.4",0.420509999999999,0.0535
"mW_WT.2787.7.306.306.5",0.42479,0.0224699999999993
"mW_WT.2787.7.306.306.6",0.321,0.0117699999999999
"mW_WT.2787.7.306.306.7",0,0.01926
"mW_WT.1227.8.138.138.1",0.00107000000000055,0.180830000000001
"mW_WT.1227.8.138.138.2",0.00963000000000036,0.20009
"mW_WT.1227.8.138.138.3",0.0449400000000002,0.19367
"mW_WT.1227.8.138.138.4",0,0.22363
"mW_WT.1227.8.138.138.5",0.0759700000000009,0.12626
"mW_WT.1227.8.138.138.6",0.179760000000001,0.100580000000001
"mW_WT.1227.8.138.138.7",0.25573,0
"mW_WT.1227.8.138.138.8",0.0866700000000002,0.20116
"mW_WT.2614.11.292.292.1",0.254659999999999,0.00106999999999979
"mW_WT.2614.11.292.292.2",0.25038,0.0641999999999994
"mW_WT.2614.11.292.292.3",0.20223,0.14338
"mW_WT.2614.11.292.292.4",0.20437,0.14231
"mW_WT.2614.11.292.292.5",0.22363,0.07276
"mW_WT.2614.11.292.292.6",0,0.270709999999999
"mW_WT.2614.11.292.292.7",0.11342,0.105929999999999
"mW_WT.2614.11.292.292.8",0.107,0.0695499999999998
"mW_WT.2614.11.292.292.9",0.12412,0
"mW_WT.2614.11.292.292.10",0.138029999999999,0.132679999999999
"mW_WT.2614.11.292.292.11",0.104859999999999,0.0524299999999994
"mW_WT.2562.7.279.279.1",0.0855999999999997,0.0395899999999997
"mW_WT.2562.7.279.279.2",0.0310299999999991,0.0139100000000003
"mW_WT.2562.7.279.279.3",0,0
"mW_WT.2562.7.279.279.4",0.0128400000000005,0.00427999999999991
"mW_WT.2562.7.279.279.5",0.0781100000000004,0.0513599999999997
"mW_WT.2562.7.279.279.6",0.0930900000000005,0.0481499999999995
"mW_WT.2562.7.279.279.7",0.0781100000000004,0.0706199999999996
"mW_WT.2606.7.291.291.1",0.34133,0.11663
"mW_WT.2606.7.291.291.2",0.298530000000001,0.12091
"mW_WT.2606.7.291.291.3",0.23219,0
"mW_WT.2606.7.291.291.4",0,0.21507
"mW_WT.2606.7.291.291.5",0.14659,0.0213999999999995
"mW_WT.2606.7.291.291.6",0.12519,0.16264
"mW_WT.2606.7.291.291.7",0.15408,0.04601
"mW_WT.7878.8.504.504.1",0.14231,0.0952300000000001
"mW_WT.7878.8.504.504.2",0.11342,0.0502899999999999
"mW_WT.7878.8.504.504.3",0.0428000000000006,0.0920199999999999
"mW_WT.7878.8.504.504.4",0.0535,0.01926
"mW_WT.7878.8.504.504.5",0.0107000000000009,0
"mW_WT.7878.8.504.504.6",0.11663,0.0845299999999999
"mW_WT.7878.8.504.504.7",0.0470799999999998,0.0181900000000002
"mW_WT.7878.8.504.504.8",0,0.0770399999999999
"mW_WT.983.8.48.48.1",0.0898800000000004,0.0427999999999998
"mW_WT.983.8.48.48.2",0.0877400000000008,0.0502899999999999
"mW_WT.983.8.48.48.3",0.0834600000000001,0
"mW_WT.983.8.48.48.4",0,0.10486
"mW_WT.983.8.48.48.5",0.00214000000000109,0.00321000000000012
"mW_WT.983.8.48.48.6",0.0920199999999999,0.0438700000000004
"mW_WT.983.8.48.48.7",0.079180000000001,0.0588500000000005
"mW_WT.983.8.48.48.8",0.0513600000000004,0.0984400000000002
"mW_WT.6767.10.434.434.1",0.0395900000000005,0.0973700000000004
"mW_WT.6767.10.434.434.2",0.0513600000000004,0.00963000000000036
"mW_WT.6767.10.434.434.3",0.0995100000000007,0.0203300000000005
"mW_WT.6767.10.434.434.4",0.188320000000001,0.19474
"mW_WT.6767.10.434.434.5",0.1284,0
"mW_WT.6767.10.434.434.6",0.129469999999999,0.0181900000000002
"mW_WT.6767.10.434.434.7",0.111280000000001,0.0235399999999999
"mW_WT.6767.10.434.434.8",0.11342,0.12198
"mW_WT.6767.10.434.434.9",0.0374499999999994,0.127330000000001
"mW_WT.6767.10.434.434.10",0,0.0160499999999998
"mW_WT.5130.12.398.398.1",0.0823899999999996,0.39911
"mW_WT.5130.12.398.398.2",0,0.10593
"mW_WT.5130.12.398.398.3",0.00428000000000067,0.0128400000000005
"mW_WT.5130.12.398.398.4",0.00107000000000055,0.0524300000000002
"mW_WT.5130.12.398.398.5",0.02675,0.0535
"mW_WT.5130.12.398.398.6",0.0171199999999996,0.0770400000000006
"mW_WT.5130.12.398.398.7",0.0224700000000009,0.0128400000000005
"mW_WT.5130.12.398.398.8",0.0320999999999997,0
"mW_WT.5130.12.398.398.9",0.0995100000000007,0.295320000000001
"mW_WT.5130.12.398.398.10",0.00963000000000036,0.0695500000000006
"mW_WT.5130.12.398.398.11",0.114490000000001,0.0706200000000004
"mW_WT.5130.12.398.398.12",0.0117699999999999,0.00856000000000058
"mW_WT.7419.7.459.459.1",0.0160500000000006,0.10486
"mW_WT.7419.7.459.459.2",0.052430000000001,0.0481499999999995
"mW_WT.7419.7.459.459.3",0.0652699999999999,0.0203299999999998
"mW_WT.7419.7.459.459.4",0.10486,0
"mW_WT.7419.7.459.459.5",0.0449400000000002,0.0577799999999999
"mW_WT.7419.7.459.459.6",0,0.0502899999999999
"mW_WT.7419.7.459.459.7",0.0417300000000001,0.0203299999999998
"mW_WT.1211.12.134.134.1",0.18404,0.0139100000000003
"mW_WT.1211.12.134.134.2",0.131609999999999,0.00427999999999991
"mW_WT.1211.12.134.134.3",0.123049999999999,0.10486
"mW_WT.1211.12.134.134.4",0,0.23433
"mW_WT.1211.12.134.134.5",0.11235,0.08774
"mW_WT.1211.12.134.134.6",0.12519,0.0888099999999998
"mW_WT.1211.12.134.134.7",0.188319999999999,0.0256800000000002
"mW_WT.1211.12.134.134.8",0.0877399999999993,0.19367
"mW_WT.1211.12.134.134.9",0.0952300000000001,0.10593
"mW_WT.1211.12.134.134.10",0.0374499999999994,0.20651
"mW_WT.1211.12.134.134.11",0.0214000000000003,0.22042
"mW_WT.1211.12.134.134.12",0.18404,0
